uniq_id,city,guest_recommendation,hotel_category,hotel_star_rating,image_count,property_type,room_area,room_count,site_review_count,site_review_rating,state
e98f69f889c0235e6dc480e7df6de0de,Gurgaon,87,regular,0,17,Guest House,14 X 12 Sq.ft.,18,8,4.5,Haryana
0c3514344c9cda8718f558e84bdb44ef,Delhi,63,regular,2,6,Hotel,14 X 14 Sq.ft.,20,121,2.8,Delhi
04e102bdd434eaeec45f095aac031106,Delhi,76,gostays,3,20,Hotel,21 X 21 Sq.ft.,24,550,4,Delhi
6c400590e2262416abddeccb148f439f,Chennai,67,regular,0,3,Hotel,10 X 10 Sq.ft.,22,28,3.6,Tamil Nadu
10fc96c69463e641906a040122dbcee4,Yercaud,100,regular,0,7,Guest House,14 X 14 Sq.ft.,2,1,4.6,Tamil Nadu
49f7eb436677a526d8f7bb06a7cd078b,Wayanad,83,regular,4,28,Hotel,25 X 11 Sq.ft.,5,72,4.3,Kerala
5164c283c495b679048fc1eea6b59359,Mcleodganj,66,regular,2,14,Resort,12 X 12 Sq.ft.,29,12,4.1,Himachal Pradesh
391757427f635f24e0b1b373f088a3d3,Goa,66,regular,0,2,Guest House,10 X 8 Sq.ft.,6,3,3.4,Goa
b606ef6f7bca2604dad406116779e58d,Nainital,69,regular,4,40,Resort,10 X 10 Sq.ft.,30,23,3.5,Uttarakhand
6cbfed60decd97968828f9fe402934f0,Chennai,72,regular,2,11,Hotel,10 X 10 Sq.ft.,20,119,3.6,Tamil Nadu
2920f553e0b0f114a40211123c8f2532,Guwahati,100,regular,3,11,Guest House,14 X 17 Sq.ft.,16,1,4,Assam
3e13111929e5f8b915710cdd05917ef6,Tiruvannamalai,85,regular,3,9,Hotel,12 X 18 Sq.ft.,18,35,4.5,Tamil Nadu
cbdfaf2d8dbe6f02bed23b2ac1943fbe,Rishikesh,70,regular,2,10,Hotel,15 X 14 Sq.ft.,15,24,3.1,Uttarakhand
cccf6365a9509be0bc7920bfa0280c5b,Goa,63,regular,0,30,Resort,250 X 250 Sq.ft.,10,11,3.9,Goa
78f7b01980174f6dea0077e86ff1be64,Jaipur,93,regular,2,21,Hostel,100 X 80 Sq.ft.,41,60,4.4,Rajasthan
a6a457343e62227c29ecfff9db53d42a,Noida,0,regular,0,33,Hotel,18 X 16 Sq.ft.,5,2,1.3,Uttar Pradesh
9e04643da8560c880e964a6c49f2bec6,Udaipur,79,regular,3,33,Resort,19 X 16 Sq.ft.,17,145,4.2,Rajasthan
53ac472d7ce902537ca169b31601161c,Munnar,72,regular,3,14,Resort,12 X 22 Sq.ft.,30,80,4.2,Kerala
3a44cedbdfae317ba2c2fce56b62af0d,Chennai,78,regular,2,6,Hotel,10 X 10 Sq.ft.,11,50,3.4,Tamil Nadu
68b92bb2287ea66f696244d7e3c43296,Hyderabad,89,regular,5,13,Hotel,19 X 19 Sq.ft.,110,124,4.5,Andhra Pradesh
f41fec2d09195952423d377be83161a8,Goa,100,regular,0,31,Hotel,14 X 10 Sq.ft.,12,2,4.8,Goa
4ac7586fd0a2814b49a89a258fc8055a,Bangalore,84,regular,0,5,Lodge,12 X 12 Sq.ft.,20,44,4.3,Karnataka
3abe7d16ae7b0f86b9353c736c4ca251,Bhiwadi,95,regular,3,6,Hotel,11 X 14 Sq.ft.,10,21,4.8,Rajasthan
d581cca145a5826a07f97cbc63623f67,Pune,100,regular,0,16,Service Apartment,12 X 15 Sq.ft.,130,1,5,Maharashtra
e8f6f1308dfdd026ed2537b0f28e830c,Gurgaon,75,regular,2,16,Hotel,16 X 16 Sq.ft.,8,8,3.7,Haryana
9b61237f834a007c400f2511f891a017,Jaisalmer,58,regular,4,61,Hotel,12 X 12 Sq.ft.,43,24,3.9,Rajasthan
f2c31ee6664721a37d1fe203246d5e32,Guwahati,50,regular,1,9,Guest House,24 X 15 Sq.ft.,35,2,3,Assam
1761da8f1d11341e80dab3ad318c3743,Nainital,66,regular,3,5,Tent,12 X 10 Sq.ft.,4,3,4.7,Uttarakhand
c2627705d8edc41b1c4f91d3a463382a,Gangtok,90,regular,3,30,Resort,12 X 15 Sq.ft.,18,20,4.5,Sikkim
7b4a2a0779e81768e31de043329a5028,Kolkata,83,regular,4,27,Hotel,16 X 16 Sq.ft.,35,216,4.3,West Bengal
7368a610cd5a8d43c7c12eda5340b8ee,Goa,100,regular,4,8,Resort,16 X 16 Sq.ft.,20,2,5,Goa
daecefb1ceac086c6d02774c8969aff2,Alleppey,100,regular,2,7,Hotel,14 X 14 Sq.ft.,10,2,3,Kerala
6386fed116d271215e59729864ac6ce4,Pune,66,regular,2,3,Hotel,10 X 12 Sq.ft.,25,12,3.6,Maharashtra
53481c04f9f0ec9d4aa2d8f5e3fe1186,Gandhinagar,72,regular,5,16,Resort,17 X 17 Sq.ft.,200,47,3.2,Gujarat
696b02499bb28e936b729fc11055e506,Mathura,63,regular,0,29,Guest House,12 X 14 Sq.ft.,26,46,2.5,Uttar Pradesh
4f7e68d7b3e39e52d815a20fd67a2e97,Visakhapatnam,50,regular,2,7,Guest House,10 X 12 Sq.ft.,6,4,3.8,Andhra Pradesh
d5699e2b4a07dac91e4c498582d0446e,Udaipur,82,regular,0,11,Homestay,14 X 14 Sq.ft.,4,17,4.4,Rajasthan
d02904c4313d9b172da8d4beb095699e,Bangalore,84,regular,3,10,Hotel,20 X 28 Sq.ft.,36,33,3.8,Karnataka
74545396b9173783b88ed5174dda7d41,Goa,94,regular,0,32,Villa,40 X 20 Sq.ft.,5,35,4.5,Goa
db839458c769d8d6a5a6c332a203ed51,Bangalore,56,gostays,3,32,Hotel,14 X 14 Sq.ft.,31,37,3.2,Karnataka
d4eb5f1bc8b26eec2cd9bbf0512066cd,Ganpatipule,100,regular,4,50,Resort,675 X 675 Sq.ft.,24,6,3.8,Maharashtra
297061b6499a1a52afc810d11c1e54fa,Vapi,87,gostays,3,18,Hotel,18 X 12 Sq.ft.,47,91,4.4,Gujarat
1f2e4a4d96139a5efaaf59c0c0573dcb,Jodhpur,72,regular,0,39,Resort,12 X 14 Sq.ft.,77,25,3.9,Rajasthan
21f68152e6d28c3e5225ef26d226af40,Delhi,85,regular,3,24,Hotel,10 X 12 Sq.ft.,11,47,4.2,Delhi
05accd5f4cc04a72efcfa9b7f96b3119,Kalimpong,50,regular,3,17,Hotel,16 X 16 Sq.ft.,13,10,3.4,West Bengal
d1714124c3c759f58a659241462e19c0,Puri,77,regular,3,30,Resort,12 X 12 Sq.ft.,121,49,4.1,Orissa
49858428e291d0d2d8c1d8d7af824ded,Rewari,87,regular,3,7,Hotel,14 X 15 Sq.ft.,30,120,4.2,Haryana
418aaacea3fd223636f0eb39f9a0d760,Goa,73,regular,1,23,Hotel,18 X 12 Sq.ft.,20,63,3.5,Goa
782970737cf205109105597ef846b608,Udaipur,90,regular,4,62,Hotel,12 X 12 Sq.ft.,39,21,4.6,Rajasthan
67b5b7ff271a9826155d8aa309cf0fb1,Thiruvananthapuram,85,regular,3,9,Hotel,14 X 14 Sq.ft.,80,119,4.4,Kerala
59a3761577beca2d91dfe8eafa266e7e,Ernakulam,60,regular,3,39,Hotel,12 X 12 Sq.ft.,26,5,4.8,Kerala
d0c875371d2c897a73ec1fdaf32f3c24,Ranchi,64,regular,4,29,Hotel,17 X 17 Sq.ft.,6,25,4.2,Jharkhand
7ba29f0d37a59430b15a0fade3f026bb,Shimla,76,regular,3,16,Hotel,12 X 12 Sq.ft.,36,219,3.9,Himachal Pradesh
7cc867b69c30a3e132446fba0e148cdc,Puri,64,regular,0,10,Lodge,12 X 12 Sq.ft.,8,48,3.9,Orissa
dd5cef52ae364ff6ee4b1f4044dc29c5,Chennai,100,regular,0,21,Service Apartment,20 X 15 Sq.ft.,21,25,4.6,Tamil Nadu
cbbd8807f03e23ed4e80f7319ea7caed,Goa,76,regular,0,4,Guest House,15 X 10 Sq.ft.,3,13,4.6,Goa
a0fb60c305dc79f69cedbeb4657502dd,Rishikesh,100,regular,5,6,Tent,14 X 14 Sq.ft.,1,2,5,Uttarakhand
73da1038bbf861de697c0f6827ee1f0a,Goa,59,regular,0,24,Hotel,12 X 12 Sq.ft.,21,22,3.7,Goa
0e1db32f202bee0fb72d9e20a493e6dc,Goa,92,gostays,3,32,Hotel,22 X 22 Sq.ft.,4,25,4.6,Goa
8d603b5b9aa5ce3cbc33d8c9e5df9113,Jaisalmer,59,regular,0,10,Tent,14 X 26 Sq.ft.,16,59,3.7,Rajasthan
2c89e2747e9827941be16074edcb4ab8,Delhi,75,regular,1,0,Hotel,16 X 14 Sq.ft.,12,32,3.7,Delhi
b53cb7516e043f711480fa6a40f7674a,Goa,79,gostays,2,6,Hotel,12 X 12 Sq.ft.,10,134,4.1,Goa
a0c38b9c7c3c12869cbdc6aaafe5c3d9,Patna,85,regular,0,12,Hotel,12 X 12 Sq.ft.,29,20,4,Bihar
33aa79a6e41ea6dc46df152e4b0fe9d1,Bharatpur,75,regular,3,31,Resort,13 X 13 Sq.ft.,11,8,4.5,Rajasthan
f16cdbb9483a338ea57eb63b03dd166c,Goa,81,regular,0,23,Cottage,25 X 12 Sq.ft.,22,11,3.7,Goa
1d97322b0b72e184488c3273e96e59b5,Mandarmani,82,regular,2,12,Hotel,15 X 13 Sq.ft.,20,185,4.2,West Bengal
82d86a7e18456582bae1d09668c795e2,Ahmedabad,61,regular,4,11,Hotel,17 X 17 Sq.ft.,125,55,2.9,Gujarat
6db62212bdca0d4bfc9c7bbef4228ad2,Kotagiri,78,regular,1,40,Resort,15 X 15 Sq.ft.,9,19,3,Tamil Nadu
a087de92703f4b4f2dad802b3c1be473,Goa,100,regular,0,28,Hotel,14 X 14 Sq.ft.,1,1,4,Goa
55ff53256d5406bd4d7a2ec3508534d6,Noida,40,regular,0,24,Service Apartment,16 X 16 Sq.ft.,17,15,3.5,Uttar Pradesh
df44f065a51982bc01df9b26c7ea7794,Chennai,75,regular,0,8,Hotel,12 X 16 Sq.ft.,3,84,3.7,Tamil Nadu
2ac4588cc3ff861d4ef501b509b8eb4f,Leh,100,regular,2,12,Hotel,12 X 15 Sq.ft.,15,1,2,Jammu and Kashmir
8bd79ae4831dd9d82ffd7ce7759b2b48,Goa,100,regular,3,14,Resort,16 X 16 Sq.ft.,15,5,3.8,Goa
b8be501040bffe5c8f0b2476cecbe03d,Chittorgarh,25,regular,4,25,Hotel,14 X 14 Sq.ft.,30,4,2.3,Rajasthan
321d62141b55e9ae65d9b1472fd7ba8b,Thekkady,68,regular,4,36,Resort,200 X 100 Sq.ft.,18,32,4.3,Kerala
92bce8cbcba576cbb0910fb077ed4a06,Ooty,72,regular,3,15,Resort,14 X 14 Sq.ft.,13,18,3.6,Tamil Nadu
6eb57ace2cd1053d5dd31dfeb555c880,Noida,0,regular,0,21,BnB,12 X 15 Sq.ft.,14,1,5,Uttar Pradesh
aaa9a7c9705cafc1689797fc9927645e,Leh,82,regular,0,24,Tent,10 X 10 Sq.ft.,15,17,4.7,Jammu and Kashmir
44efb1ae1f9dc3508eb047ae6d4ea111,Ernakulam,85,regular,5,16,Hotel,12 X 12 Sq.ft.,99,20,4.3,Kerala
48691bfd27b46542de71a70eccf83966,Jodhpur,82,gostays,3,13,Hotel,24 X 13 Sq.ft.,10,231,4.5,Rajasthan
050ffc8cb53038eaafcc6f5fe52e69ae,Panchgani,69,regular,3,12,Resort,12 X 16 Sq.ft.,40,73,3.8,Maharashtra
4ec95348910f562ce44a38751d1589ed,Bangalore,32,regular,0,1,Lodge,9 X 9 Sq.ft.,10,31,1.7,Karnataka
1fbdcdad776807a869ef5e301a87e79f,Wayanad,83,regular,4,67,Resort,16 X 16 Sq.ft.,21,6,4.4,Kerala
2ce18ad104d74e18e4bcc9422e76baca,Jaipur,66,regular,0,20,Hostel,15 X 15 Sq.ft.,33,3,3.7,Rajasthan
05fe596d4b04d1799164314fcbb7730f,Pahalgam,82,regular,3,18,Bungalow,18 X 14 Sq.ft.,13,50,4.3,Jammu and Kashmir
0aecabc6a7146470919f08bc9933969b,Ernakulam,60,regular,3,6,Hotel,15 X 15 Sq.ft.,79,45,3.9,Kerala
988e868a16a8f7072ad6f80d800df86f,Pune,75,regular,3,22,Hotel,12 X 12 Sq.ft.,16,8,3.8,Maharashtra
da736a57000566e001df08ecb7058126,Munnar,94,regular,0,6,Homestay,50 X 40 Sq.ft.,3,19,4.7,Kerala
b808f53fb9eb6cae14bc826fb519e1b2,Delhi,90,regular,3,27,Hotel,12 X 12 Sq.ft.,15,72,4.2,Delhi
d77a088f805496c8e5d5c60fc7a71abd,Goa,85,gostays,2,33,Hotel,16 X 16 Sq.ft.,24,516,4.3,Goa
e739aadfc0d8548537655a970e979eb6,Manali,80,regular,4,45,Resort,15 X 15 Sq.ft.,44,15,4.1,Himachal Pradesh
525e2e226df4b51c8d86253db8956bfc,Shimla,54,regular,2,31,Hotel,17.5 X 11 Sq.ft.,43,42,3,Himachal Pradesh
6436d9a42b4d5f872a156d882d54ce01,Manali,42,regular,3,22,Resort,12 X 14 Sq.ft.,43,7,3.9,Himachal Pradesh
ca006d18da1afc7f70c43d72ad27ebd7,Leh,100,regular,0,20,Hotel,14 X 14 Sq.ft.,5,5,4.7,Jammu and Kashmir
a538228e1cee6cd036ab22fc0464c0c3,Rishikesh,100,regular,3,10,Tent,14 X 14 Sq.ft.,23,7,4.5,Uttarakhand
73c53d7164eb8ad191ba89f91d2d577a,Delhi,73,regular,0,9,Hotel,14 X 14 Sq.ft.,30,23,3.2,Delhi
7a237b750d993200db4081030adc5fe1,Coorg,86,regular,0,23,Homestay,30 X 25 Sq.ft.,6,104,4.7,Karnataka
ecb9688fbc54f69cc1c899b0d539f21b,Masinagudi,100,regular,0,32,Cottage,14 X 14 Sq.ft.,12,13,4.1,Tamil Nadu
5455d932454abeeaeda8b76037010a7e,Haridwar,57,regular,2,8,Hotel,18 X 18 Sq.ft.,22,26,3,Uttarakhand
49dd682fab517efea1c2643019301636,Chandigarh,85,regular,2,16,Hotel,16 X 16 Sq.ft.,9,120,3.9,Punjab
851fd88c0052cd5f1142f67aa7679cdf,Pondicherry,81,regular,4,7,Resort,12 X 12 Sq.ft.,129,79,3.9,Pondicherry
f8fa15e9be6a8dc8c27b2df5a04ffcdb,Corbett,90,regular,3,9,Resort,16 X 16 Sq.ft.,65,21,2.9,Uttarakhand
38175121c5eebdeb5e6907e868182981,Indore,83,regular,4,17,Hotel,12 X 12 Sq.ft.,15,333,4.4,Madhya Pradesh
b900d579c7e8346d98c04605743b435f,Coorg,84,regular,4,46,Resort,12 X 12 Sq.ft.,101,176,4.4,Karnataka
40a3f1fb32001d90109855cfc2fa887a,Gurgaon,80,regular,4,13,Hotel,10 X 12 Sq.ft.,44,94,4.1,Haryana
9dc823cada58a6b2e7db4202dd5c879a,Munnar,82,regular,4,20,Hotel,22 X 14 Sq.ft.,20,88,4.2,Kerala
76630b860f965159084401fc6048af2b,Pune,58,regular,0,5,Service Apartment,15 X 15 Sq.ft.,6,43,3.3,Maharashtra
688070b8e5048a9764f082a1f7a68c03,Jaisalmer,76,regular,3,22,Tent,28 X 14 Sq.ft.,50,25,4.1,Rajasthan
28a73e9c4ae9a739ffc681ebf84df578,Corbett,83,regular,3,9,Resort,14 X 14 Sq.ft.,22,85,4,Uttarakhand
df6343b82675f4d2a614086b4ad47c15,Gurgaon,60,regular,0,7,Hotel,10 X 12 Sq.ft.,38,10,2.9,Haryana
1e3699185822c4bc1424daa12146c24e,Goa,85,regular,4,11,Resort,18 X 18 Sq.ft.,27,70,4,Goa
767535f0dc7ab67f5865d45b2c397dc1,Gurgaon,83,regular,0,25,BnB,12 X 15 Sq.ft.,13,6,4.3,Haryana
e5820325cba5fcd7ced5e1694f3d35c8,Coimbatore,100,regular,0,5,Service Apartment,10 X 11 Sq.ft.,7,9,4.5,Tamil Nadu
b040cc3680b700a8824e8157b6ee1a58,Goa,57,regular,0,8,Beach Hut,16 X 16 Sq.ft.,26,7,3.8,Goa
d9cc9a67aba417f4b40b063e05a00e06,Hyderabad,100,regular,1,2,Guest House,10 X 10 Sq.ft.,10,1,3.6,Andhra Pradesh
93e5a27402bfb6af4ccb12e4e1134ac7,Goa,86,regular,4,15,Resort,14 X 14 Sq.ft.,92,249,4.4,Goa
186196507b5e1c41783fdcc516d2663d,Goa,84,regular,4,7,Resort,14 X 14 Sq.ft.,126,13,4.5,Goa
af555f502741d7a3bda1a45295aede54,Amritsar,66,regular,3,9,Hotel,15 X 15 Sq.ft.,5,48,3.6,Punjab
236ff85e3be652a61678ea636fbc6f63,Gangtok,70,regular,2,23,Hotel,12 X 15 Sq.ft.,10,140,3.1,Sikkim
81494c21b043767deb1fef167853aece,Goa,72,regular,3,16,Resort,14 X 14 Sq.ft.,60,18,3.5,Goa
805368154f4373fc46d6da8d19848df8,Kangra,76,regular,3,35,Hotel,12 X 12 Sq.ft.,10,21,4.1,Himachal Pradesh
711ebbaaf757f4ae9722e75b27e7c6d0,Coorg,73,regular,3,5,Resort,19 X 19 Sq.ft.,10,89,3.5,Karnataka
3ffc0b8ff3a6aeaf24cff3f70324bdbe,Gurgaon,88,regular,0,31,Homestay,10 X 8 Sq.ft.,6,25,4.8,Haryana
50813bb793490fa3bdd2a06be7000610,Silvassa,68,regular,4,2,Resort,12 X 18 Sq.ft.,53,74,3.6,Dadra and Nagar Haveli
47cd564c9ec88dc4cdb79b7101c919ea,Agra,100,regular,0,8,Hotel,10 X 8 Sq.ft.,18,8,3.5,Uttar Pradesh
3bd55f08dde4f64686e197334e5b2058,Delhi,54,regular,4,16,Hotel,15 X 15 Sq.ft.,39,11,3.1,Delhi
3242bbc128f47d350d65227943d95f28,Agra,85,regular,3,9,Hotel,11 X 11 Sq.ft.,15,20,3.9,Uttar Pradesh
6864a129027903a8724ab1d518d9ed2f,Bangalore,82,regular,4,11,Hotel,17 X 17 Sq.ft.,100,185,4.5,Karnataka
91b1138d8b8fca18a45b0c1f51a083b0,Katra,88,regular,4,50,Hotel,22 X 18 Sq.ft.,76,201,4.7,Jammu and Kashmir
83a08ffe62aea4889337dd81728cc340,Ooty,72,regular,4,19,Resort,12 X 10 Sq.ft.,94,55,3.8,Tamil Nadu
21bc1a34ec6a04f08a436d0c590c19ca,Goa,81,gostays,3,8,Hotel,25 X 25 Sq.ft.,14,143,3.9,Goa
f01c741cbeee448215762f6635249334,Pune,86,regular,4,14,Hotel,23 X 23 Sq.ft.,30,90,4.6,Maharashtra
222e5c9cdd3d55f1f3f8465b388faca8,Pune,62,regular,0,16,Service Apartment,360 X 400 Sq.ft.,10,8,3.8,Maharashtra
6848723c97c6a756040546d05a429c65,Ghaziabad,52,regular,3,7,Hotel,16 X 16 Sq.ft.,27,46,2.8,Uttar Pradesh
47104ec593d58aedcfbf744278c2e837,Auli,70,regular,4,12,Resort,23 X 23 Sq.ft.,29,17,3.1,Uttarakhand
901c1844ebfcfee8229dcd864d50acfb,Panaji,82,regular,4,11,Hotel,12 X 14 Sq.ft.,20,84,4,Goa
18cb94f96afa22ffb1379266e9264194,Bangalore,82,gostays,3,31,Hotel,14 X 14 Sq.ft.,10,124,4.1,Karnataka
8ce6e3e18dc4ddf3b973764d26b62fb4,Delhi,91,regular,5,13,Hotel,25 X 25 Sq.ft.,44,35,4.4,Delhi
b77beb48acfc2e0967e653e0f1d1243e,Chandigarh,81,regular,5,16,Resort,15 X 15 Sq.ft.,39,60,3.5,Punjab
318c52679a0eadcd23431ddf46c32bf2,Gurgaon,91,regular,4,41,Hotel,16 X 16 Sq.ft.,129,70,4.5,Haryana
a9c6e3ea45a257b08ff976faf8db01c0,Bandipur,95,regular,0,16,Homestay,16 X 16 Sq.ft.,5,23,4.8,Karnataka
36013084590bec36955d7b02e4b4fed9,Hyderabad,69,regular,0,13,Service Apartment,10 X 12 Sq.ft.,28,13,3.4,Andhra Pradesh
54e55360697b3790046881eb2a66e60f,Chennai,100,regular,0,18,Service Apartment,14 X 14 Sq.ft.,9,4,4.5,Tamil Nadu
c067c4f171d145df2641886d9aa4bb75,Rishikesh,100,regular,3,10,Resort,12 X 12 Sq.ft.,20,1,5,Uttarakhand
19c2fc263551d57b69fb1a8f88853afa,Bangalore,84,regular,3,24,Hotel,15 X 15 Sq.ft.,68,159,4.2,Karnataka
5e5590f3bf55122b4f523aa9e760c11c,Indore,25,regular,0,5,Hotel,12 X 12 Sq.ft.,17,4,4.1,Madhya Pradesh
deb628e11bcdaf390f632a5236d41cb1,Kolkata,90,regular,0,32,Guest House,13 X 13 Sq.ft.,15,10,4,West Bengal
0d201c74ff02f4258981aab179a73b98,Chennai,77,regular,3,28,Service Apartment,15 X 15 Sq.ft.,37,31,3.7,Tamil Nadu
38b7cac19b42dd074706450aa3584f40,Hyderabad,75,regular,3,31,Hotel,15 X 15 Sq.ft.,80,564,3.7,Andhra Pradesh
14f047b58926db8ca403aa2f15160a84,Shimla,62,regular,3,8,Homestay,22 X 14 Sq.ft.,3,8,3.3,Himachal Pradesh
49912fbaf6638b23003c4e9c4b11b4c8,Tirupati,85,regular,5,43,Hotel,12 X 13 Sq.ft.,113,663,4.5,Andhra Pradesh
52dd4c3cf14a1e231e43552759cc3aef,Chennai,54,regular,2,17,Hotel,14 X 14 Sq.ft.,40,73,2.8,Tamil Nadu
e2914ceb349ed725939336c40eeeb6de,Indore,80,regular,5,10,Hotel,17 X 17 Sq.ft.,113,61,4.3,Madhya Pradesh
754a354c8624ed613cd8e45235c4cd91,Varanasi,84,regular,3,11,Hotel,12 X 15.5 Sq.ft.,40,66,4.1,Uttar Pradesh
aff74c52488a354f1a1a3fca08501554,Pune,83,regular,3,26,Hotel,15 X 15 Sq.ft.,30,73,3.9,Maharashtra
bb71280497edf50eafe3b10c73e75586,Bangalore,70,regular,3,21,Resort,16 X 16 Sq.ft.,16,47,3.4,Karnataka
cccaac1d11a0541c739225f0a8160b98,Chennai,66,regular,1,13,Hotel,10 X 10 Sq.ft.,8,3,3.2,Tamil Nadu
59c6d7c2c361bfe685a8d6059b80a0d5,Udaipur,100,regular,0,20,BnB,15 X 17 Sq.ft.,6,11,4.9,Rajasthan
10cec95481331598accf86855a9241fd,Hyderabad,80,regular,0,14,Hotel,12 X 12 Sq.ft.,45,41,3.4,Andhra Pradesh
9621ecb017059d7f69f61e81c4a38ceb,Goa,73,regular,3,48,Resort,15 X 15 Sq.ft.,27,26,3.1,Goa
ca14631f758656c5f9132a40bc3f76c7,Srinagar,100,regular,0,5,Houseboat,13 X 14 Sq.ft.,4,2,4.8,Jammu and Kashmir
